date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:50	21113/21113	---M-Z	200	added ('OK')	text/html	etag:%225279-55cf99dff8d12-gzip%22	https://www.radiustheme.com/demo/html/newsedge/	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/index.html	(from )
17:12:50	114/114	---MCZ	200	added ('OK')	text/plain	date:Thu,%2021%20Dec%202017%2009:12:49%20GMT	https://www.radiustheme.com/robots.txt		(from )
17:12:50	853/853	---M--	200	added ('OK')	image/png	etag:%22355-55a29824cfce5%22	https://www.radiustheme.com/demo/html/newsedge/img/favicon.png	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/img/favicon.png	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:51	7708/7708	---M-Z	200	added ('OK')	text/css	etag:%221e1c-55a2985612e2e-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/normalize.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/normalize.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:52	5765/5765	---M-Z	200	added ('OK')	text/css	etag:%221685-55a2985499700-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/main.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/main.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:53	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-55a2985163e38-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/bootstrap.min.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/bootstrap.min.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:54	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22ce35-55a298511a282-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/animate.min.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/animate.min.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:55	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-55a298531d0f3-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/font-awesome.min.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/font-awesome.min.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:56	2516/2516	---M-Z	200	added ('OK')	text/css	etag:%229d4-55a2985528434-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/meanmenu.min.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/meanmenu.min.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:57	98128/98128	---M-Z	200	added ('OK')	text/css	etag:%2217f50-55a2985401945-gzip%22	https://www.radiustheme.com/demo/html/newsedge/css/hover-min.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/css/hover-min.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:58	21840/21840	---M-Z	200	added ('OK')	text/css	etag:%225550-55cf9a5d22edb-gzip%22	https://www.radiustheme.com/demo/html/newsedge/style.css	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/style.css	(from https://www.radiustheme.com/demo/html/newsedge/)
17:12:59	15514/15514	---M-Z	200	added ('OK')	application/javascript	etag:%223c9a-55a2982064ae4-gzip%22	https://www.radiustheme.com/demo/html/newsedge/js/modernizr-2.8.3.min.js	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/js/modernizr-2.8.3.min.js	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:00	228045/228045	---M-Z	200	added ('OK')	text/html	etag:%2237acd-55d74109fd4d5-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:01	2430/2430	---M--	200	added ('OK')	image/png	etag:%2297e-55a298260c37d%22	https://www.radiustheme.com/demo/html/newsedge/img/logo.png	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/img/logo.png	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:02	212174/212174	---M-Z	200	added ('OK')	text/html	etag:%2233cce-55d7410b0671a-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index2.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index2.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:03	141352/141352	---M-Z	200	added ('OK')	text/html	etag:%2222828-55d7410c8e0d8-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index3.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index3.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:04	120462/120462	---M-Z	200	added ('OK')	text/html	etag:%221d68e-55d7410d72d11-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index4.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index4.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:05	156803/156803	---M-Z	200	added ('OK')	text/html	etag:%2226483-55d7410f4a045-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index5.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index5.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:06	97595/97595	---M-Z	200	added ('OK')	text/html	etag:%2217d3b-55d7410fec212-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index6.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index6.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:07	120196/120196	---M-Z	200	added ('OK')	text/html	etag:%221d584-55d74111b75dd-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index7.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index7.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:08	64251/64251	---M-Z	200	added ('OK')	text/html	etag:%22fafb-55d74103d6525-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/author-post.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/author-post.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:09	66246/66246	---M-Z	200	added ('OK')	text/html	etag:%22102c6-55d74104d3be8-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/archive.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/archive.html	(from https://www.radiustheme.com/demo/html/newsedge/)
